Employment Type,Salary Currency,Job Title,Avg. Salary In Usd
CT,USD,Staff Data Scientist,105000
CT,USD,Principal Data Scientist,416000
CT,USD,ML Engineer,270000
CT,USD,Business Data Analyst,100000
FL,USD,Machine Learning Scientist,12000
FL,USD,Data Engineer,20000
FL,USD,Computer Vision Engineer,60000
FT,USD,Research Scientist,160500
FT,GBP,Research Scientist,83000
FT,EUR,Research Scientist,59243.5
FT,CAD,Research Scientist,116081.666666667
FT,INR,Product Data Analyst,6072
FT,USD,Principal Data Scientist,193000
FT,EUR,Principal Data Scientist,161744.5
FT,USD,Principal Data Engineer,392500
FT,USD,Principal Data Analyst,170000
FT,USD,ML Engineer,256000
FT,EUR,Marketing Data Analyst,89402
FT,USD,Manager Data Science,144000
FT,USD,Machine Learning Scientist,236666.666666667
FT,USD,Machine Learning Infrastructure Engineer,195000
FT,EUR,Machine Learning Infrastructure Engineer,50180
FT,USD,Machine Learning Engineer,130984.4
FT,PLN,Machine Learning Engineer,47129
FT,INR,Machine Learning Engineer,45424.5
FT,EUR,Machine Learning Engineer,54687.833333333
FT,CNY,Machine Learning Engineer,43331
FT,USD,Lead Data Scientist,152500
FT,USD,Lead Data Engineer,154250
FT,GBP,Lead Data Engineer,103750
FT,USD,Lead Data Analyst,128500
FT,INR,Lead Data Analyst,19661
FT,USD,Head of Data Science,97500
FT,USD,Head of Data,232500
FT,USD,Financial Data Analyst,450000
FT,GBP,Finance Data Analyst,62250
FT,USD,Director of Data Science,246500
FT,EUR,Director of Data Science,149003
FT,USD,Director of Data Engineering,200000
FT,GBP,Director of Data Engineering,114125
FT,USD,Data Specialist,165000
FT,USD,Data Scientist,115929.047619048
FT,TRY,Data Scientist,21843
FT,SGD,Data Scientist,119353
FT,MXN,Data Scientist,2876
FT,INR,Data Scientist,25888.333333333
FT,HUF,Data Scientist,35735
FT,GBP,Data Scientist,83706.333333333
FT,EUR,Data Scientist,60609.210526316
FT,CLP,Data Scientist,40798
FT,CAD,Data Scientist,89293.666666667
FT,BRL,Data Scientist,13000
FT,USD,Data Science Manager,172066.666666667
FT,INR,Data Science Manager,74577.5
FT,EUR,Data Science Engineer,40529
FT,CAD,Data Science Engineer,127543
FT,USD,Data Science Consultant,96500
FT,INR,Data Science Consultant,5707
FT,EUR,Data Science Consultant,72415
FT,USD,Data Engineering Manager,163500
FT,EUR,Data Engineering Manager,79833
FT,USD,Data Engineer,120483.823529412
FT,TRY,Data Engineer,21721
FT,PLN,Data Engineer,28801
FT,MXN,Data Engineer,33511
FT,JPY,Data Engineer,41689
FT,INR,Data Engineer,26102
FT,GBP,Data Engineer,87182.5
FT,EUR,Data Engineer,54476.875
FT,USD,Data Architect,180000
FT,USD,Data Analytics Manager,126666.666666667
FT,USD,Data Analytics Engineer,80000
FT,EUR,Data Analytics Engineer,79866
FT,USD,Data Analyst,77571.428571429
FT,INR,Data Analyst,6072
FT,GBP,Data Analyst,51814
FT,EUR,Data Analyst,56909.666666667
FT,CAD,Data Analyst,71968
FT,USD,Computer Vision Software Engineer,70000
FT,EUR,Computer Vision Software Engineer,96554
FT,BRL,Computer Vision Engineer,19052
FT,USD,Cloud Data Engineer,160000
FT,SGD,Cloud Data Engineer,89514
FT,USD,Business Data Analyst,135000
FT,EUR,Business Data Analyst,59601
FT,USD,Big Data Engineer,18000
FT,INR,Big Data Engineer,14946.666666667
FT,GBP,Big Data Engineer,109024
FT,EUR,Big Data Engineer,114047
FT,CAD,Big Data Architect,99956
FT,USD,BI Data Analyst,89318
FT,HUF,BI Data Analyst,36732
FT,USD,Applied Machine Learning Scientist,423000
FT,CAD,Applied Data Scientist,54376
FT,USD,AI Scientist,55000
FT,INR,AI Scientist,18102
FT,DKK,AI Scientist,45896
PT,EUR,ML Engineer,15966
PT,EUR,Data Scientist,21669
PT,EUR,Data Engineer,70329
PT,DKK,Computer Vision Engineer,28850
PT,USD,AI Scientist,12000
PT,INR,3D Computer Vision Researcher,5423
